id,age,gender,education,years_experience,personality,interests,field,career,technical_skills,communication_skills,leadership_skills,problem_solving,creativity,salary_expectations,international_opportunities,work_life_balance,advancement_goals,market_demand,economic_conditions,industry_growth,success_probability,success,salary,career_satisfaction,job_stability,international_experience,advancement_achieved,work_life_satisfaction,success_rate
12,22,Male,masters,0,analytical,"healthcare,education,business",healthcare,Healthcare Administration,2,4,6,5,3,executive,not_interested,very_important,"research,entrepreneurship,management",0.97,0.65,0.49,0.95,1,257400,9,3,0,2,8,95.0
13,56,Male,bachelors,31,leadership,"engineering,business,technology",engineering,Chemical Engineering,5,1,1,6,3,senior_level,somewhat_interested,not_important,"teaching,consulting,management",0.56,0.98,0.95,0.95,1,268271,1,14,2,1,7,95.0
14,26,Male,bachelors,0,analytical,"healthcare,marketing",healthcare,Healthcare Administration,9,7,10,3,4,mid_level,somewhat_interested,not_important,specialization,0.87,0.73,1.14,0.95,1,110880,4,5,1,0,7,95.0
15,20,Female,some_college,0,supportive,"business,healthcare",business,Business Analysis,4,7,6,5,2,senior_level,not_interested,not_important,"research,entrepreneurship,management",0.56,0.99,0.54,0.95,0,88000,3,1,0,0,4,95.0
16,56,Female,bachelors,29,supportive,"education,technology,engineering",engineering,Civil Engineering,5,1,7,1,9,flexible,somewhat_interested,less_important,"management,entrepreneurship",0.81,0.87,0.5,0.95,1,130823,9,5,3,1,7,95.0
17,62,Female,phd,38,creative,"marketing,engineering",marketing,Social Media Marketing,10,5,7,9,1,senior_level,not_interested,moderately_important,"research,teaching",0.83,0.79,0.75,0.95,1,266111,8,13,0,2,5,95.0
18,60,Male,bachelors,30,technical,"technology,healthcare",healthcare,Nursing,4,3,1,1,4,executive,very_interested,not_important,"teaching,research",0.6,0.88,0.8,0.95,1,380160,1,15,0,1,5,95.0
19,29,Other,phd,0,analytical,"healthcare,technology,engineering",healthcare,Pharmacy,9,9,10,6,8,flexible,remote_international,not_important,teaching,0.93,0.78,1.0,0.95,1,92400,5,13,0,1,9,95.0
20,33,Female,masters,10,leadership,business,business,Digital Marketing,9,2,3,3,4,executive,somewhat_interested,moderately_important,consulting,0.7,0.82,0.73,0.95,1,280800,7,7,0,1,7,95.0
21,18,Female,bachelors,0,supportive,"marketing,education,healthcare",education,Educational Technology,5,7,8,1,7,senior_level,remote_international,moderately_important,"specialization,research",0.77,0.96,0.87,0.95,1,115200,2,11,0,1,5,95.0
22,47,Male,high_school,21,supportive,"healthcare,engineering",engineering,Electrical Engineering,7,5,7,5,2,executive,very_interested,very_important,"specialization,management",0.89,0.86,1.0,0.95,1,293940,4,14,0,2,7,95.0
23,33,Male,masters,10,technical,engineering,engineering,Electrical Engineering,3,10,10,2,3,senior_level,very_interested,very_important,"research,consulting",0.7,0.89,0.46,0.95,1,215280,4,2,2,2,10,95.0
24,25,Other,high_school,0,technical,"marketing,business",marketing,Social Media Marketing,6,1,7,8,2,executive,not_interested,not_important,"specialization,consulting,teaching",0.87,0.99,0.62,0.95,1,162000,9,13,0,3,7,95.0
25,45,Other,phd,19,leadership,technology,technology,DevOps Engineering,4,8,10,10,7,senior_level,very_interested,not_important,"specialization,consulting",0.61,0.92,0.67,0.95,1,278207,5,9,0,2,5,95.0
26,23,Male,masters,0,technical,marketing,marketing,Market Research,8,1,2,5,4,executive,somewhat_interested,less_important,"research,entrepreneurship,consulting",0.78,0.74,1.2,0.95,1,210600,6,12,3,2,6,95.0
27,34,Male,high_school,9,leadership,marketing,marketing,Content Creation,4,8,5,10,9,flexible,not_interested,very_important,entrepreneurship,0.61,0.67,0.41,0.95,1,63720,5,1,0,0,10,95.0
28,36,Other,some_college,7,analytical,education,education,School Administration,8,8,6,3,1,senior_level,remote_international,very_important,consulting,0.75,0.83,0.95,0.95,1,120384,10,5,0,0,7,95.0
29,25,Other,masters,0,technical,"engineering,marketing",marketing,Social Media Marketing,7,5,10,10,1,flexible,very_interested,moderately_important,"specialization,entrepreneurship,management",0.58,0.67,0.46,0.95,1,70200,8,12,3,2,4,95.0
30,32,Female,bachelors,3,analytical,"healthcare,business,marketing",business,Business Analysis,9,4,3,5,3,entry_level,very_interested,moderately_important,"research,teaching",0.96,0.78,0.77,0.95,1,61056,7,5,3,1,4,95.0
31,56,Male,masters,29,technical,"technology,marketing",technology,AI/ML Engineer,10,10,1,5,10,entry_level,somewhat_interested,not_important,"teaching,consulting,entrepreneurship",0.59,0.83,0.91,0.95,1,118310,2,8,2,3,6,95.0
32,38,Other,high_school,14,leadership,"marketing,engineering",engineering,Chemical Engineering,9,1,8,2,6,senior_level,not_interested,very_important,"research,management",0.83,0.82,0.73,0.95,1,176639,6,10,0,1,9,95.0
33,21,Male,bachelors,0,creative,"engineering,marketing",engineering,Mechanical Engineering,10,4,3,5,9,entry_level,remote_international,very_important,management,0.73,0.65,1.07,0.95,1,66240,5,9,0,1,9,95.0
34,48,Female,some_college,19,technical,engineering,engineering,Biomedical Engineering,9,3,2,5,7,senior_level,not_interested,very_important,"teaching,entrepreneurship",0.92,0.83,0.93,0.95,1,209484,8,9,0,1,8,95.0
35,39,Other,phd,11,supportive,"healthcare,marketing",marketing,Content Creation,7,1,6,8,7,executive,somewhat_interested,not_important,specialization,0.75,0.84,1.1,0.95,1,276696,8,2,3,0,9,95.0
36,27,Female,some_college,4,supportive,"business,education",education,Teaching,6,9,7,6,8,flexible,very_interested,very_important,teaching,0.84,0.71,0.58,0.95,1,57024,2,13,0,1,7,95.0
37,62,Female,high_school,40,leadership,business,business,Digital Marketing,7,3,4,9,7,flexible,somewhat_interested,moderately_important,management,0.8,0.75,0.95,0.95,1,108000,10,3,1,1,9,95.0
38,34,Female,bachelors,12,supportive,"marketing,education",marketing,Digital Marketing,8,6,10,5,7,senior_level,remote_international,less_important,consulting,0.93,0.64,0.71,0.95,1,160704,5,12,0,1,4,95.0
39,60,Female,bachelors,38,technical,"marketing,technology,engineering",technology,Data Science,10,6,4,4,10,senior_level,somewhat_interested,very_important,"teaching,management,entrepreneurship",0.89,0.61,0.69,0.95,1,304128,5,6,3,1,7,95.0
40,26,Other,bachelors,0,technical,"healthcare,business",business,Digital Marketing,6,2,8,2,3,mid_level,remote_international,less_important,consulting,0.51,0.81,0.76,0.95,1,100800,5,10,0,1,9,95.0
41,41,Male,some_college,12,analytical,"education,business,healthcare",healthcare,Medical Practice,8,5,7,2,3,entry_level,very_interested,less_important,"management,teaching",0.62,0.82,0.71,0.95,1,72019,9,7,1,1,9,95.0
42,24,Female,phd,0,leadership,marketing,marketing,Content Creation,8,8,4,6,2,senior_level,not_interested,very_important,"entrepreneurship,specialization",0.98,0.98,1.06,0.95,1,151199,4,11,0,2,10,95.0
43,19,Male,bachelors,0,creative,"healthcare,technology,marketing",marketing,Content Creation,4,6,3,10,1,senior_level,somewhat_interested,moderately_important,"entrepreneurship,specialization,management",0.83,0.61,0.41,0.95,1,129600,4,10,2,0,5,95.0
44,34,Male,some_college,6,technical,marketing,marketing,Market Research,8,6,9,10,2,executive,somewhat_interested,very_important,"teaching,research,entrepreneurship",0.73,0.99,0.45,0.95,1,199584,7,7,0,3,9,95.0
45,22,Male,bachelors,0,analytical,business,business,Project Management,10,9,5,8,9,flexible,remote_international,very_important,"management,research,specialization",0.72,0.96,0.73,0.95,1,72000,7,7,0,0,8,95.0
46,45,Female,bachelors,18,creative,"engineering,technology,education",engineering,Mechanical Engineering,7,2,6,3,9,entry_level,not_interested,very_important,"entrepreneurship,consulting",0.93,0.89,1.17,0.95,1,90086,6,2,0,2,10,95.0
47,31,Male,masters,6,analytical,"education,business",education,Curriculum Development,10,4,7,9,10,flexible,very_interested,less_important,specialization,0.64,0.9,1.14,0.95,1,69888,3,14,1,1,4,95.0
48,27,Other,high_school,4,technical,engineering,engineering,Chemical Engineering,6,3,6,5,6,flexible,very_interested,very_important,specialization,0.88,0.62,0.47,0.95,1,74519,7,8,3,1,8,95.0
49,31,Other,high_school,4,supportive,business,business,Consulting,5,1,4,7,10,entry_level,very_interested,moderately_important,"specialization,teaching",0.88,0.72,0.5,0.95,1,51840,7,3,1,1,8,95.0
50,63,Male,phd,33,leadership,engineering,engineering,Chemical Engineering,1,8,2,6,10,executive,remote_international,not_important,"management,consulting",0.51,0.73,1.04,0.95,1,481068,6,2,0,1,4,95.0
51,33,Female,phd,5,technical,engineering,engineering,Electrical Engineering,4,6,3,2,9,entry_level,somewhat_interested,less_important,"teaching,specialization",0.62,0.66,0.56,0.95,1,85008,2,3,3,1,8,95.0
52,55,Female,phd,28,leadership,engineering,engineering,Chemical Engineering,8,5,5,10,1,senior_level,very_interested,less_important,"consulting,management",0.53,0.93,0.46,0.95,1,301391,2,10,3,1,8,95.0
53,53,Other,high_school,24,technical,"healthcare,business,engineering",engineering,Civil Engineering,1,8,2,6,2,flexible,somewhat_interested,very_important,teaching,0.72,0.78,0.82,0.95,1,102119,6,15,2,1,9,95.0
54,39,Other,phd,17,leadership,business,business,Consulting,7,5,5,10,3,senior_level,very_interested,moderately_important,"entrepreneurship,consulting",0.56,0.88,0.47,0.95,1,225120,6,14,1,2,9,95.0
55,65,Other,phd,42,supportive,"business,technology,marketing",technology,Data Science,4,6,8,4,4,mid_level,somewhat_interested,very_important,"management,research",0.89,0.93,1.11,0.95,1,259660,6,15,1,2,9,95.0
56,27,Male,some_college,3,supportive,engineering,engineering,Civil Engineering,8,10,5,8,4,flexible,somewhat_interested,less_important,"specialization,entrepreneurship",0.84,0.83,0.75,0.95,1,80454,7,9,3,0,5,95.0
57,56,Male,bachelors,34,supportive,"education,technology",education,Curriculum Development,2,3,5,8,9,mid_level,remote_international,very_important,consulting,0.94,0.97,0.73,0.95,1,135475,6,4,0,1,6,95.0
58,41,Male,high_school,14,analytical,"marketing,business,healthcare",marketing,Digital Marketing,5,8,3,8,8,flexible,very_interested,very_important,entrepreneurship,0.61,0.66,1.15,0.95,1,69120,7,2,2,0,8,95.0
59,25,Male,some_college,0,technical,"technology,marketing",marketing,Social Media Marketing,9,1,9,10,4,mid_level,not_interested,not_important,research,0.68,0.83,0.55,0.95,1,83160,9,6,0,0,8,95.0
60,52,Other,phd,22,analytical,"engineering,technology",technology,UI/UX Design,5,1,6,2,6,mid_level,very_interested,less_important,management,0.68,0.74,0.91,0.95,1,203212,8,12,3,0,5,95.0
61,22,Other,masters,0,leadership,technology,technology,Software Development,6,5,9,7,9,executive,not_interested,very_important,"specialization,entrepreneurship,research",0.93,0.62,0.92,0.95,1,280800,6,7,0,3,9,95.0
62,42,Female,some_college,13,supportive,"education,business",education,School Administration,2,7,10,3,9,senior_level,not_interested,very_important,entrepreneurship,0.83,0.72,0.88,0.95,1,133056,8,6,0,1,6,95.0
63,64,Female,phd,36,leadership,"technology,marketing,engineering",marketing,Social Media Marketing,3,1,3,10,8,entry_level,somewhat_interested,very_important,teaching,0.68,0.75,0.85,0.95,1,104025,8,6,2,1,6,95.0
64,54,Male,phd,27,supportive,"marketing,business",marketing,Digital Marketing,1,3,8,9,7,flexible,very_interested,less_important,"teaching,consulting",0.61,0.84,0.96,0.95,0,77615,2,1,1,0,4,95.0
65,46,Male,masters,23,leadership,"business,technology,marketing",technology,Data Science,3,6,9,4,2,mid_level,somewhat_interested,moderately_important,"management,entrepreneurship",0.78,0.75,1.04,0.95,1,191318,10,15,0,0,6,95.0
66,43,Other,masters,13,supportive,"education,technology",education,Curriculum Development,2,8,8,9,6,mid_level,somewhat_interested,moderately_important,"research,management",0.92,0.81,0.64,0.95,1,110073,4,6,2,0,6,95.0
67,30,Other,phd,4,creative,"business,education,technology",technology,AI/ML Engineer,3,10,10,3,3,flexible,not_interested,very_important,management,0.52,0.86,0.86,0.95,1,108864,10,7,0,0,9,95.0
68,58,Other,bachelors,32,supportive,marketing,marketing,Brand Management,8,2,1,3,8,executive,remote_international,not_important,entrepreneurship,0.8,0.73,0.97,0.95,1,318816,6,7,0,0,6,95.0
69,50,Other,high_school,23,creative,"technology,business",business,Financial Planning,3,2,1,5,7,flexible,remote_international,moderately_important,entrepreneurship,0.97,0.89,0.55,0.95,1,87600,9,8,0,1,6,95.0
70,49,Male,high_school,21,technical,"healthcare,marketing",marketing,Digital Marketing,1,5,8,10,8,senior_level,very_interested,very_important,"specialization,entrepreneurship",0.86,0.91,0.69,0.95,1,153360,10,9,1,1,10,95.0
71,36,Male,masters,6,supportive,"business,education,technology",business,Business Analysis,7,6,6,9,6,mid_level,somewhat_interested,not_important,"management,teaching,research",0.57,0.73,0.78,0.95,1,122304,10,15,1,2,8,95.0
72,38,Male,masters,12,technical,"education,marketing",marketing,Social Media Marketing,5,8,1,6,6,entry_level,remote_international,less_important,"teaching,management,consulting",0.63,0.86,1.18,0.95,1,69638,4,12,0,0,8,95.0
73,48,Male,phd,20,creative,"healthcare,technology,education",healthcare,Medical Practice,8,6,7,3,7,mid_level,remote_international,not_important,"teaching,management,specialization",0.76,0.82,1.2,0.95,1,181104,7,6,0,1,7,95.0
74,52,Female,phd,25,leadership,"engineering,healthcare,education",healthcare,Physical Therapy,5,4,5,5,4,executive,not_interested,not_important,"research,entrepreneurship",0.64,0.83,0.83,0.95,1,415799,7,14,0,1,5,95.0
75,36,Male,bachelors,13,leadership,"marketing,business",business,Financial Planning,4,9,5,9,5,mid_level,very_interested,moderately_important,management,0.83,0.81,0.91,0.95,1,127008,7,6,3,0,9,95.0
76,26,Male,phd,2,supportive,"engineering,marketing,healthcare",marketing,Brand Management,5,1,2,10,4,flexible,very_interested,moderately_important,"specialization,management",1.0,0.76,0.8,0.95,1,78623,5,15,0,0,6,95.0
77,54,Other,high_school,27,leadership,"marketing,education",education,Educational Technology,9,8,5,4,2,senior_level,somewhat_interested,not_important,"entrepreneurship,specialization,management",0.87,0.92,0.85,0.95,1,147840,3,10,3,3,8,95.0
78,38,Male,masters,15,creative,engineering,engineering,Civil Engineering,1,5,7,4,8,senior_level,not_interested,less_important,"teaching,research,management",0.63,0.74,0.59,0.95,1,233220,8,5,0,1,7,95.0
79,61,Other,bachelors,38,leadership,"education,healthcare",education,Educational Technology,8,3,8,10,6,executive,remote_international,moderately_important,teaching,0.88,0.95,0.47,0.95,1,304128,6,2,0,0,4,95.0
80,53,Other,some_college,23,creative,business,business,Business Analysis,4,10,8,2,9,executive,very_interested,not_important,research,0.71,0.83,0.85,0.95,1,289080,5,12,0,1,6,95.0
81,18,Other,some_college,0,analytical,"business,technology",business,Business Analysis,8,1,5,7,3,mid_level,remote_international,less_important,"consulting,teaching",0.69,0.87,0.93,0.95,1,92400,6,2,0,0,8,95.0
82,43,Other,some_college,18,analytical,business,business,Entrepreneurship,9,7,9,7,4,mid_level,remote_international,less_important,entrepreneurship,0.59,0.95,1.01,0.95,1,125663,7,10,0,0,5,95.0
83,31,Male,high_school,9,supportive,"marketing,technology,healthcare",healthcare,Medical Practice,7,8,4,9,4,entry_level,somewhat_interested,less_important,teaching,0.79,0.83,1.02,0.95,1,62304,4,5,1,0,7,95.0
84,37,Female,high_school,7,technical,"healthcare,engineering,education",healthcare,Healthcare Administration,7,9,6,7,7,mid_level,not_interested,not_important,research,0.74,0.94,0.64,0.95,1,105336,8,15,0,0,8,95.0
85,44,Female,phd,14,creative,"healthcare,business",healthcare,Healthcare Administration,2,8,6,2,9,mid_level,very_interested,less_important,"teaching,research",0.8,0.95,0.55,0.95,1,165580,9,4,3,0,6,95.0
86,37,Male,some_college,12,analytical,"engineering,healthcare,education",healthcare,Nursing,9,6,5,7,8,flexible,not_interested,less_important,"entrepreneurship,research",0.94,0.79,1.04,0.95,1,90024,6,15,0,0,6,95.0
87,38,Female,high_school,13,creative,business,business,Digital Marketing,3,4,6,4,7,flexible,somewhat_interested,not_important,"teaching,entrepreneurship,research",0.88,0.8,0.98,0.95,1,75600,8,3,2,1,5,95.0
88,64,Other,masters,40,technical,"technology,education,marketing",technology,AI/ML Engineer,1,1,7,3,4,entry_level,somewhat_interested,very_important,research,0.73,0.62,0.91,0.95,1,134784,8,11,3,0,6,95.0
89,52,Other,masters,30,analytical,"marketing,business,education",marketing,Social Media Marketing,7,3,2,2,9,mid_level,somewhat_interested,moderately_important,"research,entrepreneurship,teaching",0.63,0.76,0.7,0.95,1,157248,10,4,1,2,9,95.0
90,23,Other,high_school,0,supportive,"engineering,education",education,Teaching,1,3,2,8,7,senior_level,very_interested,very_important,specialization,0.95,0.88,0.85,0.95,1,96000,2,11,2,0,7,95.0
91,38,Male,some_college,14,supportive,business,business,Consulting,4,10,7,9,6,executive,somewhat_interested,very_important,"teaching,entrepreneurship,management",0.55,0.69,0.46,0.95,1,253440,10,10,3,2,6,95.0
92,58,Female,masters,29,creative,"education,engineering",engineering,Civil Engineering,10,7,2,10,5,mid_level,very_interested,very_important,"specialization,consulting",0.86,0.85,0.99,0.95,1,198416,2,2,0,1,9,95.0
93,41,Female,high_school,17,analytical,engineering,engineering,Biomedical Engineering,9,9,7,2,1,entry_level,not_interested,very_important,"research,entrepreneurship,consulting",0.51,0.77,1.02,0.95,1,73968,9,15,0,1,10,95.0
94,51,Male,masters,27,creative,"business,marketing",marketing,Content Creation,2,3,7,5,7,senior_level,remote_international,very_important,"entrepreneurship,specialization",0.86,0.8,0.89,0.95,1,216216,3,5,0,0,9,95.0
95,39,Other,masters,12,supportive,"engineering,education",engineering,Electrical Engineering,6,10,4,8,6,mid_level,remote_international,less_important,"teaching,consulting",0.98,0.91,0.66,0.95,1,155719,7,6,0,0,8,95.0
96,30,Other,phd,6,technical,marketing,marketing,Content Creation,8,5,2,7,8,mid_level,not_interested,moderately_important,"teaching,specialization",0.86,0.92,0.46,0.95,0,79027,4,5,0,0,7,95.0
97,52,Other,masters,22,analytical,"marketing,education",marketing,Digital Marketing,4,6,3,10,1,flexible,remote_international,less_important,"management,teaching",0.55,0.69,1.0,0.95,1,101088,10,4,0,1,6,95.0
98,43,Female,phd,13,creative,"technology,engineering",technology,UI/UX Design,7,2,2,3,6,senior_level,not_interested,not_important,research,0.74,0.79,0.75,0.95,1,254016,6,2,0,1,4,95.0
99,63,Male,high_school,36,analytical,"healthcare,marketing,education",education,Educational Technology,6,9,7,8,4,executive,somewhat_interested,moderately_important,"teaching,consulting,research",0.51,0.85,0.56,0.95,1,247680,7,1,1,1,6,95.0
100,63,Male,phd,40,technical,business,business,Financial Planning,8,2,5,8,9,senior_level,remote_international,not_important,"management,entrepreneurship,research",0.92,0.85,1.05,0.95,1,302400,5,15,0,0,9,95.0
101,26,Female,high_school,1,leadership,healthcare,healthcare,Mental Health,3,9,7,7,10,mid_level,remote_international,not_important,consulting,0.82,0.88,0.92,0.95,0,62832,5,2,0,0,7,95.0
102,36,Male,some_college,9,supportive,"technology,business,marketing",business,Financial Planning,4,7,9,9,8,executive,remote_international,not_important,"consulting,teaching,specialization",0.54,0.61,1.01,0.95,1,233640,5,4,0,2,5,95.0
103,47,Other,masters,17,technical,education,education,Curriculum Development,9,6,9,1,8,flexible,somewhat_interested,not_important,teaching,0.92,0.9,0.64,0.95,0,55744,4,3,2,0,4,95.0
104,46,Male,some_college,21,technical,"business,education,engineering",business,Consulting,3,4,4,1,10,senior_level,not_interested,moderately_important,"teaching,entrepreneurship",0.64,0.71,1.09,0.95,0,124960,6,1,0,0,5,95.0
105,44,Male,bachelors,20,creative,healthcare,healthcare,Nursing,7,8,3,10,5,executive,remote_international,not_important,teaching,0.9,0.91,0.72,0.95,1,332640,6,8,0,1,6,95.0
106,55,Male,high_school,26,leadership,education,education,Educational Technology,7,4,8,5,6,senior_level,not_interested,moderately_important,"consulting,entrepreneurship,management",0.52,0.85,1.07,0.95,1,145920,3,8,0,3,4,95.0
107,45,Male,some_college,19,creative,"technology,business",business,Business Analysis,6,3,1,7,5,mid_level,remote_international,very_important,"management,teaching,specialization",0.74,0.65,0.58,0.95,1,127511,1,1,0,2,6,95.0
108,45,Other,some_college,16,analytical,engineering,engineering,Mechanical Engineering,2,6,6,5,3,executive,somewhat_interested,moderately_important,research,0.78,0.84,0.53,0.95,1,300564,4,11,1,1,8,95.0
109,61,Female,some_college,38,analytical,technology,technology,UI/UX Design,7,6,3,4,5,entry_level,somewhat_interested,less_important,"management,entrepreneurship,specialization",0.76,0.8,1.0,0.95,1,111513,1,13,1,3,7,95.0
110,25,Male,masters,2,technical,business,business,Financial Planning,7,10,7,6,9,mid_level,remote_international,very_important,research,0.53,0.7,0.43,0.95,1,113568,7,9,0,1,10,95.0
111,44,Female,masters,21,technical,"education,healthcare,business",education,Curriculum Development,2,9,4,3,9,senior_level,remote_international,very_important,"teaching,consulting",0.86,0.94,0.45,0.95,1,177216,7,2,0,1,10,95.0
112,56,Male,bachelors,32,analytical,marketing,marketing,Digital Marketing,3,8,6,9,9,senior_level,somewhat_interested,less_important,teaching,0.89,0.71,1.11,0.95,1,212544,1,6,3,1,8,95.0
113,22,Female,phd,0,supportive,"education,business",education,School Administration,10,3,6,3,5,entry_level,very_interested,moderately_important,"research,management,teaching",0.93,0.6,0.44,0.95,1,53760,3,3,0,3,5,95.0
114,38,Male,masters,11,leadership,education,education,Teaching,9,1,3,4,9,entry_level,remote_international,very_important,"entrepreneurship,teaching",0.66,0.82,0.41,0.95,1,60902,10,13,0,1,10,95.0
115,33,Female,bachelors,4,creative,"education,healthcare,marketing",education,School Administration,1,4,9,6,1,senior_level,very_interested,not_important,"teaching,entrepreneurship,management",0.6,0.99,0.74,0.95,0,82944,2,3,0,0,4,95.0
116,32,Other,masters,5,supportive,"technology,education,marketing",marketing,Content Creation,7,2,10,10,1,executive,somewhat_interested,moderately_important,"entrepreneurship,teaching",0.96,0.76,1.07,0.95,1,231660,8,5,1,0,5,95.0
117,26,Other,high_school,2,analytical,engineering,engineering,Electrical Engineering,7,2,9,6,4,executive,not_interested,not_important,"management,teaching",0.58,0.87,1.06,0.95,1,215280,1,4,0,1,5,95.0
118,23,Other,some_college,0,supportive,"technology,business,education",technology,Software Development,7,8,9,9,4,entry_level,remote_international,very_important,management,0.51,0.93,1.19,0.95,1,63360,7,6,0,0,10,95.0
119,55,Female,high_school,33,analytical,marketing,marketing,Content Creation,2,6,2,1,8,entry_level,somewhat_interested,not_important,"consulting,teaching,management",0.69,0.77,0.68,0.95,1,71712,5,5,3,1,4,95.0
120,57,Other,phd,32,leadership,"engineering,education",education,Teaching,2,5,7,3,7,mid_level,somewhat_interested,very_important,"teaching,entrepreneurship",0.74,0.91,0.68,0.95,1,154291,6,7,2,0,6,95.0
121,38,Other,some_college,16,leadership,engineering,engineering,Biomedical Engineering,4,3,2,4,4,senior_level,very_interested,moderately_important,"consulting,entrepreneurship,specialization",0.59,0.84,1.04,0.95,1,200376,10,1,2,1,8,95.0
122,30,Female,phd,4,creative,"technology,marketing",technology,Data Science,10,4,1,9,8,entry_level,not_interested,moderately_important,entrepreneurship,0.86,0.97,1.08,0.95,1,87091,1,3,0,0,4,95.0
123,51,Female,high_school,24,supportive,"technology,business,education",business,Financial Planning,3,7,8,6,3,flexible,not_interested,moderately_important,"research,specialization,consulting",0.65,0.88,0.5,0.95,1,88800,10,7,0,0,5,95.0
124,56,Female,phd,31,technical,engineering,engineering,Electrical Engineering,2,4,6,6,3,entry_level,not_interested,not_important,entrepreneurship,0.6,0.88,0.68,0.95,1,125193,1,1,0,1,7,95.0
125,64,Female,some_college,36,supportive,"business,education",education,Teaching,8,10,4,3,8,entry_level,very_interested,less_important,entrepreneurship,0.63,0.64,0.67,0.95,1,72652,3,12,0,0,6,95.0
126,56,Other,masters,34,supportive,"healthcare,education,engineering",healthcare,Medical Practice,2,6,4,4,7,flexible,not_interested,less_important,"specialization,management",0.52,0.83,1.07,0.95,1,144144,6,1,0,1,4,95.0
127,36,Other,phd,7,creative,technology,technology,Data Science,5,2,8,2,5,executive,remote_international,not_important,"entrepreneurship,management,consulting",0.59,0.95,0.7,0.95,1,344736,5,8,0,3,6,95.0
128,32,Female,phd,10,creative,"marketing,technology,education",education,Curriculum Development,9,7,10,4,9,entry_level,remote_international,not_important,"teaching,consulting,specialization",0.74,0.63,1.12,0.95,1,64512,9,10,0,1,4,95.0
129,46,Male,some_college,21,creative,technology,technology,Software Development,7,4,3,10,5,senior_level,very_interested,very_important,"research,consulting",0.78,0.94,0.82,0.95,1,224928,1,13,3,0,9,95.0
130,27,Male,phd,4,analytical,"technology,business,education",business,Digital Marketing,7,8,10,10,8,entry_level,somewhat_interested,less_important,"specialization,research",0.8,0.88,0.43,0.95,1,72576,6,12,1,0,9,95.0
131,48,Female,bachelors,26,leadership,"business,marketing",marketing,Digital Marketing,4,3,5,8,6,senior_level,remote_international,very_important,consulting,0.61,0.93,0.99,0.95,1,196992,6,14,0,0,10,95.0
132,28,Male,bachelors,0,supportive,education,education,Educational Technology,4,4,1,4,1,executive,very_interested,less_important,"specialization,entrepreneurship,research",0.91,0.8,0.91,0.95,1,172800,1,4,2,3,8,95.0
133,46,Male,masters,16,leadership,"healthcare,business",healthcare,Healthcare Administration,1,7,1,3,10,mid_level,somewhat_interested,moderately_important,"specialization,entrepreneurship,consulting",0.76,0.95,1.17,0.95,1,158558,8,15,1,1,8,95.0
134,18,Male,bachelors,0,leadership,"engineering,business",business,Digital Marketing,4,8,5,9,10,executive,very_interested,very_important,"teaching,entrepreneurship,research",0.65,0.64,0.45,0.95,0,144000,6,3,2,0,8,95.0
